msoa,black_count,population
E02001063,1944,11066
E02001064,2275,10781
E02001065,1596,9528
E02001066,1149,11566
E02001067,2721,11554
E02001068,5616,11885
E02001069,2576,12490
E02001070,842,11992
E02001072,1048,8937
E02001073,318,9361
E02001074,1490,11798
E02001075,574,9137
E02001076,467,11275
E02001077,211,7428
E02001078,424,10691
E02001079,689,9459
E02001080,372,9729
E02001081,150,6303
E02001082,229,6672
E02001083,362,8245
E02001084,274,8602
E02001085,538,8970
E02001086,455,6885
E02001087,154,9281
E02001088,454,9123
E02001089,130,8038
E02001090,212,6981
E02001091,284,8379
E02001092,780,9230
E02001093,710,9893
E02001094,901,9987
E02001095,601,9033
E02001096,334,8021
E02001097,452,8567
E02001098,26,5938
E02001099,33,5680
E02001100,64,6037
E02001101,30,5676
E02001102,50,6033
E02001103,8,5501
E02001104,272,7310
E02001105,124,5953
E02001106,77,6029
E02001107,146,6922
E02001108,401,5954
E02001109,263,7746
E02001110,20,6479
E02001111,1495,9139
E02001112,42,5997
E02001113,299,9436
E02001114,216,8847
E02001115,114,5990
E02001116,301,7911
E02001117,29,5999
E02001118,18,6062
E02001119,297,12315
E02001121,314,8677
E02001123,454,7059
E02001124,468,6880
E02001125,196,7916
E02001126,496,9161
E02001127,338,7753
E02001128,265,7455
E02001129,420,6785
E02001130,143,5805
E02001131,102,5462
E02001132,39,6625
E02001133,31,6603
E02001134,36,6325
E02001135,279,8402
E02001136,122,9547
E02001137,55,6199
E02001138,61,8651
E02001139,318,10363
E02001140,222,8149
E02001141,874,12011
E02001142,76,6016
E02001143,511,11639
E02001144,77,6338
E02001145,29,7039
E02001146,413,10297
E02001147,617,10401
E02001148,252,10458
E02001149,376,10321
E02001150,312,8983
E02001151,142,10102
E02001152,704,9779
E02001153,1299,12282
E02001154,399,10131
E02001155,363,7209
E02001156,312,9900
E02001157,945,8703
E02001158,299,6059
E02001159,357,7493
E02001160,605,7273
E02001161,290,5844
E02001162,228,5818
E02001163,209,9921
E02001164,369,7675
E02001165,153,6171
E02001166,253,8245
E02001167,539,6968
E02001168,360,9896
E02001169,124,10907
E02001170,85,9851
E02001171,94,6162
E02001173,1084,9504
E02001174,171,5720
E02001175,179,7504
E02001176,324,11755
E02001177,939,13342
E02001179,731,7018
E02001180,1131,5685
E02001181,354,5973
E02001182,476,7356
E02001183,293,7333
E02001185,131,9699
E02001186,172,10557
E02001187,103,7003
E02001188,274,8652
E02001189,94,8299
E02001190,242,7961
E02001191,27,5743
E02001192,67,6557
E02001193,123,6411
E02001194,61,6375
E02001195,24,7551
E02001196,57,7831
